ID,COLL_NOM,COLL_INSEE,ARR_REF,ARR_DATE,ARR_OBJET,ARR_CONSIDERANT,ARR_URL,REGL_ARTICLE,REGL_SOUS_ARTICLE,VEH_TONNAGE,INTERV_JH,INTERV_REGIME,INTERV_DUREE,INTERV_DISQUE,EMPRISE_ZONE,EMPRISE_DESIGNATION,EMPRISE_LONGUEUR,EMPRISE_LARGEUR,EMPRISE_DEBATTEMENT,STATIONNEMENT_LOCALISATION,IRVE_PRESENCE,IRVE_PUISSANCE,GEOM_XY,GEOM_WKT
11,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Garbéro (chemin des Frères) au numéro 4,10,,,,,,,
12,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Grasse (route de) au numéro 1588,10,,,,,,,
13,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Joffre (avenue du Maréchal) en face du numéro 23,,,,,,,,
14,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Leclerc (boulevard Maréchal) en face du numéro sur deux places en épi,,,,,,,,
15,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Maupassant (avenue Guy de) au numéro 15,,,,,,,,
16,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Militaires (rue des Lits) entre le numéro 4 et 6,,,,,,,,
17,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Mirabeau (avenue) au numéro 13/15,10,,,,,,,
18,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Poincaré (boulevard Raymond) au numéro 87,,,,,,,,
19,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Sable (chemin des) au droit du palais des Congrès,10,,,,,,,
20,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Wilson (boulevard du président) au numéro 9,,,,,,,,
21,Ville d'Antibes,06004,1045/23,2023-04-11,Réglementation emplacements réservés de type aire de livraison - Arrêté réglementaire permanent de police,"Considérant la nécessité de proposer des emplacements pour la création d'aires de livraison \ Considérant la nécessité de regrouper sur un arrêté unique, l'ensemble des zones \""aires de livraison\"" sur la commune d'Antibes \ Considérant le pouvoir du maire de prendre toutes mesures utiles et proportionnées pour assurer le bon ordre, la sûreté, la sécurité et la salubrité publiques, notamment la sécurité et la commodité de passage dans les rues, voies, quais, et places publiques",NA,1;2,NA,"19 06:00-10:00; 3,5 10:00-19:00",NA,NA,NA,NA,,Wilson (boulevard du président) au numéro 29,,,,,,,,
